24,1
33,4
34,1653
70,0
75,1
102,761
147,2566
190,966
211,1
247,1
252,493
257,1
259,5
282,101
313,59
339,1
340,1797
343,53
345,2
366,1
368,1
393,1
413,2
494,12
533,18
574,136
592,125
609,6
613,432
620,26
651,210
663,1559
698,6
740,53
741,1
807,24
902,17
934,799
935,24
937,753
956,1
980,1
990,4
1007,1349
1068,2
1071,2
1083,7
1125,8
1174,7
1266,9
1291,2
1308,42
1313,6
1379,1
1435,4
1441,0
1449,286
1450,1
1472,0
1474,1
1488,43
1506,4
1511,28
1554,713
1594,2
1612,15
1618,132
1653,0
1794,52
1796,46
1817,30
1822,0
1832,62
1842,293
1854,1
1906,0
1927,4
1957,1827
1958,202
1987,0
1989,69
2035,83
2081,2
2154,170
2199,2
2248,752
2281,606
2309,31
2315,342
2335,42
2343,2
2388,389
2394,1
2396,8
2441,2
2452,287
2528,0
2532,35
2539,24
2554,235
2562,2
2566,68
2600,0
2645,28
2658,2
2680,0
2720,3
2739,94
2754,1
2769,0
2791,185
2834,4
2841,5
2855,98
2863,23
2988,2
3001,7
3008,95
3030,290
3031,142
3080,119
3083,129
3160,33
3189,1301
3206,3
3252,2
3264,548
3375,1
3382,1
3424,1
3450,32
3465,180
3511,2
3524,66
3537,2
3548,0
3551,23
3558,2
3594,52
3608,0
3628,3
3643,101
3721,95
3732,39
3736,100
3740,88
3751,24
3761,101
3796,3
3807,8
3828,7
3832,2
3857,11
3876,4
3937,1
3963,48
3981,471
3994,98
4008,1
4035,4
4087,0
4092,16
4095,3610
4143,312
4177,4
4179,1
4190,425
4191,299
4194,11
4215,2
4237,58
4322,8
4327,34
4335,25
4362,5
4372,1
4439,74
4451,12
4469,48
4479,1
4514,2
4519,36
4534,26
4563,1064
4627,88
4635,51
4671,77
4683,72
4715,3
4740,2
4751,57
4765,770
4773,13
4788,343
4819,52
4823,59
4837,87
4838,1
4849,20
4873,151
4900,227
4927,3
4929,1211
4931,8
4948,6
4949,11
4959,148
5005,152
5022,5314
5044,5
5056,37
5089,0
5143,8
5144,86
5187,160
5210,91
5232,17
5247,29
5251,96
5253,1
5264,14
5297,25
5299,21
5307,2
5314,5
5320,1
5328,11
5353,1
5357,1
5362,57
5378,1342
5403,1
5444,229
5465,9
5500,1
5516,110
5526,50
5528,26
5543,59
5556,16
5562,47
5636,20
5640,565
5658,43
5663,2
5692,1575
5697,4
5705,1
5713,1
5740,33
5743,1
5793,1
5815,3
5818,3
5847,0
5868,1
5872,1
5874,2075
5901,2
5912,0
5919,1
5970,1
5993,80
6075,1068
6103,8
6112,1
6129,24
6137,4
6141,3
6142,290
6146,2
6161,1
6171,102
6172,1
6186,47
6260,15
6286,37
6366,11
6382,40
6393,18
6400,91
6413,444
6427,0
6468,107
6539,1
6578,73
6595,20
6645,4
6678,1
6740,8
6846,14
6850,2
6858,16
